doi,journal,published_year,title,matched_in_title,matched_in_abstract,has_abstract,title_only_no_abstract,query_term,first_author_name,first_author_affiliation,data_repo_doi,abstract,include,reason
10.1016/j.dib.2015.12.020,Data in Brief,2016,Dataset of producing and curing concrete using domestic treated wastewater,wastewater,,FALSE,TRUE,wastewater,Gholamreza Asadollahfardi,,,,,
10.1016/j.dib.2016.01.066,Data in Brief,2016,Experimental data for synthesis of bi-metalized chitosan particle for attenuating of an azo dye from wastewater,wastewater,,FALSE,TRUE,wastewater,Abdollah Hajivandi,,,,,
10.1016/j.dib.2016.06.048,Data in Brief,2016,Data on daily fluoride intake based on drinking water consumption prepared by household desalinators working by reverse osmosis process,drinking water,,FALSE,TRUE,drinking water; water quality; water sanitation,Vahid Noroozi Karbasdehi,,,,,
10.1016/j.dib.2016.09.050,Data in Brief,2016,"Data on fluoride concentration level in villages of Asara (Alborz, Iran) and daily fluoride intake based on drinking water consumption",drinking water,,FALSE,TRUE,drinking water; water quality; water sanitation,Giti Akhavan,,,,,
10.1016/j.dib.2016.11.054,Data in Brief,2017,"Data on metal levels in the inlet and outlet wastewater treatment plant of hospitals in Bushehr province, Iran",wastewater,,FALSE,TRUE,wastewater,Fereshte Babaahmadi,,,,,
10.1016/j.dib.2017.04.031,Data in Brief,2017,"Zinc, nickel, and cobalt ions removal from aqueous solution and plating plant wastewater by modified Aspergillus flavus biomass: A dataset",wastewater,,FALSE,TRUE,wastewater,Rauf Foroutan,,,,,
10.1016/j.dib.2017.05.045,Data in Brief,2017,Fluoride concentration level in rural area in Poldasht city and daily fluoride intake based on drinking water consumption with temperature,drinking water,,FALSE,TRUE,drinking water; water quality; water sanitation,Ali Akbar Mohammadi,,,,,
10.1016/j.dib.2017.06.029,Data in Brief,2017,Advanced treatment of saline municipal wastewater by Ruppia maritima: A data set,wastewater,,FALSE,TRUE,wastewater,Mehdi Ahmadi,,,,,
10.1016/j.dib.2017.07.010,Data in Brief,2017,Synthesis of adsorbent from Tamarix hispida and modified by lanthanum metal for fluoride ions removal from wastewater: Adsorbent characteristics and real wastewater treatment data,wastewater,,FALSE,TRUE,wastewater,Nasim Habibi,,,,,
10.1016/j.dib.2017.07.015,Data in Brief,2017,"Data of added-value lipid production, Arachidonic acid, among other lipids by Mortierella elongata, using low cost simulated wastewater",wastewater,,FALSE,TRUE,wastewater,Bruna Soares Fernandes,,,,,
10.1016/j.dib.2017.08.054,Data in Brief,2017,Calculating fluoride concentrations data using ambient temperatures in drinking water distribution networks in select provinces of Iran,drinking water,,FALSE,TRUE,drinking water; water quality; water sanitation,Mohammad Ali Zazouli,,,,,
10.1016/j.dib.2017.10.048,Data in Brief,2017,Data on metagenomic profiles of activated sludge from a full-scale wastewater treatment plant,wastewater,,FALSE,TRUE,faecal sludge; wastewater,Jianhua Guo,,,,,
10.1016/j.dib.2017.10.052,Data in Brief,2017,"Data on water quality index for the groundwater in rural area Neyshabur County, Razavi province, Iran",water quality,,FALSE,TRUE,drinking water; water quality; water sanitation,Mahmood Yousefi,,,,,
10.1016/j.dib.2017.11.003,Data in Brief,2018,"Assessment of groundwater quality and evaluation of scaling and corrosiveness potential of drinking water samples in villages of Chabahr city, Sistan and Baluchistan province in Iran",drinking water,,FALSE,TRUE,drinking water; water quality; water sanitation,Abbas Abbasnia,,,,,
10.1016/j.dib.2017.11.042,Data in Brief,2018,"Data on pollutants content in the influent and effluent from wastewater treatment plant of Rasht in Guilan Province, Iran",wastewater,,FALSE,TRUE,wastewater,Salar Hosseinipour Dizgah,,,,,
10.1016/j.dib.2017.11.078,Data in Brief,2018,"Heavy metals analysis and quality assessment in drinking water – Khorramabad city, Iran",drinking water,,FALSE,TRUE,drinking water; water quality; water sanitation,Mansour Ghaderpoori,,,,,
10.1016/j.dib.2017.11.087,Data in Brief,2018,"Drinking water pollution with respective of fluoride in the semi-arid region of Basara, Nirmal district, Telangana State, India",drinking water,,FALSE,TRUE,drinking water; water quality; water sanitation,Adimalla Narsimha,,,,,
10.1016/j.dib.2017.11.099,Data in Brief,2018,"Data on corrosion and scaling potential of drinking water resources using stability indices in Jolfa, East Azerbaijan, Iran",drinking water,,FALSE,TRUE,drinking water; water quality; water sanitation,Mahmood Yousefi,,,,,
10.1016/j.dib.2017.12.034,Data in Brief,2018,"Data on wastewater treatment plant by using wetland method, Babol, Iran",wastewater,,FALSE,TRUE,wastewater,Yousef Dadban Shahamat,,,,,
10.1016/j.dib.2017.12.053,Data in Brief,2018,Draft genome sequence of Brevibacterium epidermidis EZ-K02 isolated from nitrocellulose-contaminated wastewater environments,wastewater,,FALSE,TRUE,wastewater,Elvira E. Ziganshina,,,,,
10.1016/j.dib.2017.12.057,Data in Brief,2018,Data on corrosive water in the sources and distribution network of drinking water in north of Iran,drinking water,,FALSE,TRUE,drinking water; water quality; water sanitation,Javad Alimoradi,,,,,
10.1016/j.dib.2018.01.072,Data in Brief,2018,Water quality assessment for groundwater around a municipal waste dumpsite,water quality,,FALSE,TRUE,drinking water; water quality; water sanitation,Olusola T. Kayode,,,,,
10.1016/j.dib.2018.02.003,Data in Brief,2018,Data on microbiological quality assessment of rural drinking water supplies in Poldasht county,drinking water,,FALSE,TRUE,drinking water; water quality; water sanitation,Mahmood Yousefi,,,,,
10.1016/j.dib.2018.02.069,Data in Brief,2018,"The concentration data of fluoride and health risk assessment in drinking water in the Ardakan city of Yazd province, Iran",drinking water,,FALSE,TRUE,drinking water; water quality; water sanitation,Majid Mirzabeygi (Rad Fard),,,,,
10.1016/j.dib.2018.02.075,Data in Brief,2018,Neuro-fuzzy inference system Prediction of stability indices and Sodium absorption ratio in Lordegan rural drinking water resources in west Iran,drinking water,,FALSE,TRUE,drinking water; water quality; water sanitation,Afshin Takdastan,,,,,
10.1016/j.dib.2018.03.007,Data in Brief,2018,"Evaluation of water quality and stability in the drinking water distribution network in the Azogues city, Ecuador",drinking water; water quality,,FALSE,TRUE,drinking water; water quality; water sanitation,Fernando García-Ávila,,,,,
10.1016/j.dib.2018.03.113,Data in Brief,2018,Evaluation and comparison the performance of titanium and zirconium(IV) tetrachloride in textile wastewater treatment,wastewater,,FALSE,TRUE,wastewater,Hamidi Abdul Aziz,,,,,
